POSICAO;MARCA/MODELO;UNIDADES;ANO;MES;CATEGORIA;COL_AUXILIAR;MARCA;MODELO
3;VW/T-CROSS;5733;2021;9;AUTOMOVEIS NOVOS;3;VW;T-CROSS
4;FIAT/ARGO;4911;2021;9;AUTOMOVEIS NOVOS;5;FIAT;ARGO
5;FIAT/MOBI;4574;2021;9;AUTOMOVEIS NOVOS;5;FIAT;MOBI
6;HYUNDAI/CRETA;4550;2021;9;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
7;JEEP/RENEGADE;4503;2021;9;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
8;GM/ONIX;4311;2021;9;AUTOMOVEIS NOVOS;3;GM;ONIX
9;GM/TRACKER;3936;2021;9;AUTOMOVEIS NOVOS;3;GM;TRACKER
10;GM/ONIX-PLUS;3747;2021;9;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
11;HONDA/HR-V;3502;2021;9;AUTOMOVEIS NOVOS;6;HONDA;HR-V
12;VW/NIVUS;3356;2021;9;AUTOMOVEIS NOVOS;3;VW;NIVUS
13;VW/GOL;3141;2021;9;AUTOMOVEIS NOVOS;3;VW;GOL
14;TOYOTA/COROLLA-CROSS;3050;2021;9;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA-CROSS
15;NISSAN/KICKS;2903;2021;9;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
16;VW/CROSSFOX;2341;2021;9;AUTOMOVEIS NOVOS;3;VW;CROSSFOX
17;FIAT/CRONOS;2302;2021;9;AUTOMOVEIS NOVOS;5;FIAT;CRONOS
18;TOYOTA/COROLLA;2280;2021;9;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
19;HYUNDAI/HB20S;2269;2021;9;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
20;RENAULT/KWID;1963;2021;9;AUTOMOVEIS NOVOS;8;RENAULT;KWID
21;HONDA/CIVIC;1891;2021;9;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
22;PEUGEOT/208;1697;2021;9;AUTOMOVEIS NOVOS;8;PEUGEOT;208
23;CITROEN/C4-CACTUS;1542;2021;9;AUTOMOVEIS NOVOS;8;CITROEN;C4-CACTUS
24;VW/VIRTUS;1241;2021;9;AUTOMOVEIS NOVOS;3;VW;VIRTUS
25;FIAT/SIENA;1192;2021;9;AUTOMOVEIS NOVOS;5;FIAT;SIENA
26;TOYOTA/HILUX-SW4;1155;2021;9;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
27;HONDA/WR-V;1125;2021;9;AUTOMOVEIS NOVOS;6;HONDA;WR-V
28;CAOACHERY/TIGGO5X;1122;2021;9;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
29;VW/TAOS;1092;2021;9;AUTOMOVEIS NOVOS;3;VW;TAOS
30;CAOACHERY/TIGGO8;1063;2021;9;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO8
31;RENAULT/DUSTER;1056;2021;9;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
32;TOYOTA/YARIS-HB;1026;2021;9;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
33;VW/VOYAGE;872;2021;9;AUTOMOVEIS NOVOS;3;VW;VOYAGE
34;CAOACHERY/TIGGO3X;799;2021;9;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO3X
35;VW/POLO;759;2021;9;AUTOMOVEIS NOVOS;3;VW;POLO
36;NISSAN/VERSA;683;2021;9;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
37;GM/CRUZE-SEDAN;659;2021;9;AUTOMOVEIS NOVOS;3;GM;CRUZE-SEDAN
38;HONDA/CITY;652;2021;9;AUTOMOVEIS NOVOS;6;HONDA;CITY
39;TOYOTA/YARIS-SEDAN;598;2021;9;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
40;RENAULT/CAPTUR;594;2021;9;AUTOMOVEIS NOVOS;8;RENAULT;CAPTUR
41;FIAT/DOBLO;506;2021;9;AUTOMOVEIS NOVOS;5;FIAT;DOBLO
42;RENAULT/SANDERO;490;2021;9;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
43;CAOACHERY/TIGGO7;468;2021;9;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO7
44;GM/SPIN;460;2021;9;AUTOMOVEIS NOVOS;3;GM;SPIN
45;BMW/X1;451;2021;9;AUTOMOVEIS NOVOS;4;BMW;X1
46;HONDA/FIT;450;2021;9;AUTOMOVEIS NOVOS;6;HONDA;FIT
47;VOLVO/XC60;444;2021;9;AUTOMOVEIS NOVOS;6;VOLVO;XC60
48;BMW/320I;437;2021;9;AUTOMOVEIS NOVOS;4;BMW;320I
49;GM/TRAILBLAZER;391;2021;9;AUTOMOVEIS NOVOS;3;GM;TRAILBLAZER
50;RENAULT/LOGAN;375;2021;9;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
1;FIAT/ARGO;8381;2021;10;AUTOMOVEIS NOVOS;5;FIAT;ARGO
2;JEEP/RENEGADE;6723;2021;10;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
3;JEEP/COMPASS;6097;2021;10;AUTOMOVEIS NOVOS;5;JEEP;COMPASS
4;VW/T-CROSS;6008;2021;10;AUTOMOVEIS NOVOS;3;VW;T-CROSS
5;HYUNDAI/HB20;5844;2021;10;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20
6;HYUNDAI/CRETA;5492;2021;10;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
7;GM/ONIX;5157;2021;10;AUTOMOVEIS NOVOS;3;GM;ONIX
8;VW/GOL;5039;2021;10;AUTOMOVEIS NOVOS;3;VW;GOL
9;GM/ONIX-PLUS;4494;2021;10;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
10;GM/TRACKER;4151;2021;10;AUTOMOVEIS NOVOS;3;GM;TRACKER
11;VW/NIVUS;3485;2021;10;AUTOMOVEIS NOVOS;3;VW;NIVUS
12;HONDA/HR-V;3381;2021;10;AUTOMOVEIS NOVOS;6;HONDA;HR-V
13;TOYOTA/COROLLA;3014;2021;10;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
14;TOYOTA/COROLLA-CROSS;2999;2021;10;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA-CROSS
15;VW/VOYAGE;2968;2021;10;AUTOMOVEIS NOVOS;3;VW;VOYAGE
16;FIAT/MOBI;2945;2021;10;AUTOMOVEIS NOVOS;5;FIAT;MOBI
17;FIAT/CRONOS;2816;2021;10;AUTOMOVEIS NOVOS;5;FIAT;CRONOS
18;RENAULT/KWID;2655;2021;10;AUTOMOVEIS NOVOS;8;RENAULT;KWID
19;NISSAN/KICKS;2337;2021;10;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
20;PEUGEOT/208;2270;2021;10;AUTOMOVEIS NOVOS;8;PEUGEOT;208
21;HYUNDAI/HB20S;1716;2021;10;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
22;VW/TAOS;1682;2021;10;AUTOMOVEIS NOVOS;3;VW;TAOS
23;HONDA/CIVIC;1657;2021;10;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
24;VW/CROSSFOX;1596;2021;10;AUTOMOVEIS NOVOS;3;VW;CROSSFOX
25;CITROEN/C4-CACTUS;1556;2021;10;AUTOMOVEIS NOVOS;8;CITROEN;C4-CACTUS
26;VW/VIRTUS;1409;2021;10;AUTOMOVEIS NOVOS;3;VW;VIRTUS
27;RENAULT/DUSTER;1408;2021;10;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
28;CAOACHERY/TIGGO5X;1391;2021;10;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
29;RENAULT/CAPTUR;1193;2021;10;AUTOMOVEIS NOVOS;8;RENAULT;CAPTUR
30;TOYOTA/HILUX-SW4;1149;2021;10;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
31;CAOACHERY/TIGGO8;1104;2021;10;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO8
32;TOYOTA/YARIS-HB;1087;2021;10;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
33;VW/POLO;1040;2021;10;AUTOMOVEIS NOVOS;3;VW;POLO
34;CAOACHERY/TIGGO3X;970;2021;10;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO3X
35;FIAT/SIENA;946;2021;10;AUTOMOVEIS NOVOS;5;FIAT;SIENA
36;NISSAN/VERSA;945;2021;10;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
37;HONDA/WR-V;734;2021;10;AUTOMOVEIS NOVOS;6;HONDA;WR-V
38;GM/SPIN;612;2021;10;AUTOMOVEIS NOVOS;3;GM;SPIN
39;CAOACHERY/TIGGO7;596;2021;10;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO7
40;TOYOTA/YARIS-SEDAN;557;2021;10;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
41;HONDA/FIT;512;2021;10;AUTOMOVEIS NOVOS;6;HONDA;FIT
42;GM/CRUZE-SEDAN;480;2021;10;AUTOMOVEIS NOVOS;3;GM;CRUZE-SEDAN
43;RENAULT/SANDERO;424;2021;10;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
44;BMW/320I;417;2021;10;AUTOMOVEIS NOVOS;4;BMW;320I
45;JEEP/COMMANDER;372;2021;10;AUTOMOVEIS NOVOS;5;JEEP;COMMANDER
46;RENAULT/LOGAN;370;2021;10;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
47;BMW/X1;365;2021;10;AUTOMOVEIS NOVOS;4;BMW;X1
48;FIAT/UNO;363;2021;10;AUTOMOVEIS NOVOS;5;FIAT;UNO
49;VOLVO/XC60;331;2021;10;AUTOMOVEIS NOVOS;6;VOLVO;XC60
50;PEUGEOT/2008;310;2021;10;AUTOMOVEIS NOVOS;8;PEUGEOT;2008
1;GM/ONIX;9327;2021;11;AUTOMOVEIS NOVOS;3;GM;ONIX
2;GM/ONIX-PLUS;7521;2021;11;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
3;VW/GOL;6866;2021;11;AUTOMOVEIS NOVOS;3;VW;GOL
4;FIAT/ARGO;6340;2021;11;AUTOMOVEIS NOVOS;5;FIAT;ARGO
5;HYUNDAI/CRETA;6099;2021;11;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
6;GM/TRACKER;6073;2021;11;AUTOMOVEIS NOVOS;3;GM;TRACKER
7;HYUNDAI/HB20;5540;2021;11;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20
8;JEEP/COMPASS;5287;2021;11;AUTOMOVEIS NOVOS;5;JEEP;COMPASS
9;VW/T-CROSS;4725;2021;11;AUTOMOVEIS NOVOS;3;VW;T-CROSS
10;JEEP/RENEGADE;4233;2021;11;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
11;RENAULT/KWID;3712;2021;11;AUTOMOVEIS NOVOS;8;RENAULT;KWID
12;NISSAN/KICKS;3556;2021;11;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
13;FIAT/CRONOS;3545;2021;11;AUTOMOVEIS NOVOS;5;FIAT;CRONOS
14;TOYOTA/COROLLA;3505;2021;11;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
15;TOYOTA/COROLLA-CROSS;3454;2021;11;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA-CROSS
16;VW/VOYAGE;3357;2021;11;AUTOMOVEIS NOVOS;3;VW;VOYAGE
17;HONDA/HR-V;2868;2021;11;AUTOMOVEIS NOVOS;6;HONDA;HR-V
18;CITROEN/C4-CACTUS;2457;2021;11;AUTOMOVEIS NOVOS;8;CITROEN;C4-CACTUS
19;FIAT/PULSE;2228;2021;11;AUTOMOVEIS NOVOS;5;FIAT;PULSE
20;HYUNDAI/HB20S;2011;2021;11;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
21;NISSAN/VERSA;1913;2021;11;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
22;RENAULT/DUSTER;1764;2021;11;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
23;PEUGEOT/208;1653;2021;11;AUTOMOVEIS NOVOS;8;PEUGEOT;208
24;HONDA/CIVIC;1588;2021;11;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
25;FIAT/SIENA;1499;2021;11;AUTOMOVEIS NOVOS;5;FIAT;SIENA
26;GM/CRUZE-SEDAN;1334;2021;11;AUTOMOVEIS NOVOS;3;GM;CRUZE-SEDAN
27;TOYOTA/YARIS-HB;1286;2021;11;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
28;VW/NIVUS;1251;2021;11;AUTOMOVEIS NOVOS;3;VW;NIVUS
29;TOYOTA/HILUX-SW4;1215;2021;11;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
30;JEEP/COMMANDER;1085;2021;11;AUTOMOVEIS NOVOS;5;JEEP;COMMANDER
31;CAOACHERY/TIGGO5X;1023;2021;11;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
32;CAOACHERY/TIGGO8;972;2021;11;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO8
33;VW/TAOS;936;2021;11;AUTOMOVEIS NOVOS;3;VW;TAOS
34;PEUGEOT/2008;895;2021;11;AUTOMOVEIS NOVOS;8;PEUGEOT;2008
35;HONDA/WR-V;848;2021;11;AUTOMOVEIS NOVOS;6;HONDA;WR-V
36;RENAULT/CAPTUR;834;2021;11;AUTOMOVEIS NOVOS;8;RENAULT;CAPTUR
37;GM/SPIN;758;2021;11;AUTOMOVEIS NOVOS;3;GM;SPIN
38;CAOACHERY/TIGGO3X;743;2021;11;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO3X
39;VW/VIRTUS;738;2021;11;AUTOMOVEIS NOVOS;3;VW;VIRTUS
40;TOYOTA/YARIS-SEDAN;661;2021;11;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
41;RENAULT/LOGAN;651;2021;11;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
42;FIAT/MOBI;638;2021;11;AUTOMOVEIS NOVOS;5;FIAT;MOBI
43;VW/POLO;579;2021;11;AUTOMOVEIS NOVOS;3;VW;POLO
44;RENAULT/SANDERO;578;2021;11;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
45;CAOACHERY/TIGGO7;423;2021;11;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO7
46;VOLVO/XC40;394;2021;11;AUTOMOVEIS NOVOS;6;VOLVO;XC40
47;LANDROVER/DISCOVERY;393;2021;11;AUTOMOVEIS NOVOS;10;LANDROVER;DISCOVERY
48;HONDA/FIT;390;2021;11;AUTOMOVEIS NOVOS;6;HONDA;FIT
49;CAOACHERY/ARRIZO6;369;2021;11;AUTOMOVEIS NOVOS;10;CAOACHERY;ARRIZO6
50;BMW/320I;362;2021;11;AUTOMOVEIS NOVOS;4;BMW;320I
1;GM/ONIX;11529;2021;12;AUTOMOVEIS NOVOS;3;GM;ONIX
2;GM/ONIX-PLUS;9105;2021;12;AUTOMOVEIS NOVOS;3;GM;ONIX-PLUS
3;VW/GOL;8329;2021;12;AUTOMOVEIS NOVOS;3;VW;GOL
4;GM/TRACKER;7936;2021;12;AUTOMOVEIS NOVOS;3;GM;TRACKER
5;HYUNDAI/HB20;7926;2021;12;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20
6;RENAULT/KWID;6775;2021;12;AUTOMOVEIS NOVOS;8;RENAULT;KWID
7;JEEP/COMPASS;6668;2021;12;AUTOMOVEIS NOVOS;5;JEEP;COMPASS
8;VW/T-CROSS;6574;2021;12;AUTOMOVEIS NOVOS;3;VW;T-CROSS
9;HYUNDAI/CRETA;6038;2021;12;AUTOMOVEIS NOVOS;8;HYUNDAI;CRETA
10;TOYOTA/COROLLA;4922;2021;12;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA
11;VW/VOYAGE;4588;2021;12;AUTOMOVEIS NOVOS;3;VW;VOYAGE
12;TOYOTA/COROLLA-CROSS;4581;2021;12;AUTOMOVEIS NOVOS;7;TOYOTA;COROLLA-CROSS
13;FIAT/CRONOS;4535;2021;12;AUTOMOVEIS NOVOS;5;FIAT;CRONOS
14;FIAT/ARGO;4509;2021;12;AUTOMOVEIS NOVOS;5;FIAT;ARGO
15;FIAT/PULSE;4432;2021;12;AUTOMOVEIS NOVOS;5;FIAT;PULSE
16;JEEP/RENEGADE;4293;2021;12;AUTOMOVEIS NOVOS;5;JEEP;RENEGADE
17;HONDA/HR-V;3696;2021;12;AUTOMOVEIS NOVOS;6;HONDA;HR-V
18;HYUNDAI/HB20S;2876;2021;12;AUTOMOVEIS NOVOS;8;HYUNDAI;HB20S
19;FIAT/MOBI;2744;2021;12;AUTOMOVEIS NOVOS;5;FIAT;MOBI
20;CITROEN/C4-CACTUS;2721;2021;12;AUTOMOVEIS NOVOS;8;CITROEN;C4-CACTUS
21;NISSAN/KICKS;2578;2021;12;AUTOMOVEIS NOVOS;7;NISSAN;KICKS
22;JEEP/COMMANDER;2185;2021;12;AUTOMOVEIS NOVOS;5;JEEP;COMMANDER
23;FIAT/SIENA;2138;2021;12;AUTOMOVEIS NOVOS;5;FIAT;SIENA
24;PEUGEOT/208;1814;2021;12;AUTOMOVEIS NOVOS;8;PEUGEOT;208
25;RENAULT/DUSTER;1803;2021;12;AUTOMOVEIS NOVOS;8;RENAULT;DUSTER
26;HONDA/CIVIC;1697;2021;12;AUTOMOVEIS NOVOS;6;HONDA;CIVIC
27;TOYOTA/HILUX-SW4;1568;2021;12;AUTOMOVEIS NOVOS;7;TOYOTA;HILUX-SW4
28;GM/SPIN;1538;2021;12;AUTOMOVEIS NOVOS;3;GM;SPIN
29;TOYOTA/YARIS-HB;1538;2021;12;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-HB
30;VW/NIVUS;1508;2021;12;AUTOMOVEIS NOVOS;3;VW;NIVUS
31;VW/TAOS;1462;2021;12;AUTOMOVEIS NOVOS;3;VW;TAOS
32;PEUGEOT/2008;1325;2021;12;AUTOMOVEIS NOVOS;8;PEUGEOT;2008
33;CAOACHERY/TIGGO8;1272;2021;12;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO8
34;NISSAN/VERSA;1264;2021;12;AUTOMOVEIS NOVOS;7;NISSAN;VERSA
35;RENAULT/CAPTUR;1146;2021;12;AUTOMOVEIS NOVOS;8;RENAULT;CAPTUR
36;FIAT/UNO;1135;2021;12;AUTOMOVEIS NOVOS;5;FIAT;UNO
37;HONDA/WR-V;1096;2021;12;AUTOMOVEIS NOVOS;6;HONDA;WR-V
38;GM/CRUZE-SEDAN;961;2021;12;AUTOMOVEIS NOVOS;3;GM;CRUZE-SEDAN
39;CAOACHERY/TIGGO5X;899;2021;12;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO5X
40;RENAULT/LOGAN;874;2021;12;AUTOMOVEIS NOVOS;8;RENAULT;LOGAN
41;CAOACHERY/TIGGO3X;825;2021;12;AUTOMOVEIS NOVOS;10;CAOACHERY;TIGGO3X
42;TOYOTA/YARIS-SEDAN;808;2021;12;AUTOMOVEIS NOVOS;7;TOYOTA;YARIS-SEDAN
43;RENAULT/SANDERO;776;2021;12;AUTOMOVEIS NOVOS;8;RENAULT;SANDERO
44;VW/VIRTUS;770;2021;12;AUTOMOVEIS NOVOS;3;VW;VIRTUS
45;VOLVO/XC40;620;2021;12;AUTOMOVEIS NOVOS;6;VOLVO;XC40
46;M.BENZ/CLASSE-GLB;485;2021;12;AUTOMOVEIS NOVOS;7;M.BENZ;CLASSE-GLB
47;HONDA/FIT;430;2021;12;AUTOMOVEIS NOVOS;6;HONDA;FIT
48;BMW/320I;362;2021;12;AUTOMOVEIS NOVOS;4;BMW;320I
49;BMW/X1;348;2021;12;AUTOMOVEIS NOVOS;4;BMW;X1
50;CAOACHERY/ARRIZO6;330;2021;12;AUTOMOVEIS NOVOS;10;CAOACHERY;ARRIZO6
